"GEOID","AsianPercent","BlackPercent","HispanicPercent","NativeAmPercent","Hawaiian_PIPercent","LowerIncome","MiddleIncome","HighIncome","Agri_MiningPerc","ConstructionPerc","ManufacturingPerc","WholesalePerc","RetailPerc","TransportationPerc","Finance_RealEstatePerc","Science_WastePerc","Education_HealthPerc","Arts_Rec_FoodPerc","OtherPerc","name","state","Number_of_returns","estimated_exams","audit_rate","audit_rate_trunk","YEAR","PARTISAN_INDEX_DEM","PARTISAN_INDEX_REP"
"29215",0.0854866912764717,1.75636292986206,2.02836603846901,2.39362735574121,0,0.548281147361506,0.259689073790234,0.0860521129844537,7.54758258586743,6.24589805294246,10.5228615182673,0.44847954495734,13.6075257055349,7.97418507985124,2.87683220301903,3.87223802231459,25.9352439291184,6.77094727630715,5.80835703347189,"Texas County, Missouri","Missouri",37010,324,8.75439070521481,8.75439070521481,2016,0.2624946534634,0.737505376339
"29027",0.866131131355742,3.6754476506754,1.90952744244491,0.323116276982453,0,0.450526315789474,0.333684210526316,0.142291021671827,3.27554928441846,7.59927433985084,8.04777262648659,2.24249143317879,10.6934085869784,7.06006853456964,5.17032856278976,5.87583148558758,25.3124370086676,8.09816569240073,4.72686958274541,"Callaway County, Missouri","Missouri",77660,562,7.23667267576616,7.23667267576616,2016,0.3389951586723,0.6610048413277
"29053",0.318308418120843,6.08196441766612,1.51196498607401,0.204626840220542,0,0.482429099876695,0.31442663378545,0.147503082614057,3.61293582617484,7.31430015159171,9.13340070742799,2.48863062152602,12.0262758969176,5.9499747347145,6.7710965133906,5.48256695300657,24.1409802930773,9.66397170288024,4.72460838807478,"Cooper County, Missouri","Missouri",29970,225,7.50750750750751,7.50750750750751,2016,0.3217294216156,0.6782705783844
"29075",0.427413411938099,1.06116433308769,0.899042004421518,0.206337509211496,0,0.524017467248908,0.304949053857351,0.0957059679767103,9.2338574774172,5.41987286717966,10.9401137504182,1.90699230511877,9.80260956841753,5.72097691535631,4.18200066912011,5.5536968885915,31.4486450317832,5.72097691535631,4.55001672800268,"Gentry County, Missouri","Missouri",11380,91,7.99648506151142,7.99648506151142,2016,0.3216302394867,0.6783697605133
"29133",0.0351914414414414,24.2328265765766,1.9214527027027,0.295608108108108,0,0.597107039537126,0.227772420443587,0.0640308582449373,9.32254802831143,4.73205257836198,11.9312436804853,1.96157735085945,12.5783619817998,6.49140546006067,4.7118301314459,4.99494438827098,23.9635995955511,5.88473205257836,5.01516683518706,"Mississippi County, Missouri","Missouri",20290,180,8.87136520453425,8.87136520453425,2016,0.3716395497322,0.6283604502678
"29153",0,0.167767641816085,1.59379259725281,0.136311208975569,0,0.570517363571935,0.241908811717458,0.0498464446019372,6.23393316195373,8.45115681233933,15.5205655526992,4.4987146529563,12.5964010282776,4.7879177377892,2.37789203084833,4.11311053984576,26.6388174807198,5.10925449871465,7.0694087403599,"Ozark County, Missouri","Missouri",13680,118,8.62573099415205,8.62573099415205,2016,0.2672560811043,0.7327439188957
"29017",0.679831660731628,0.242797021689867,0.930721916477825,0.0971188086759469,0,0.498211655796339,0.270776351777825,0.0948874395118872,6.39810426540284,13.5466034755134,19.4510268562401,2.54739336492891,9.00473933649289,4.04818325434439,1.69826224328594,5.68720379146919,24.7827804107425,5.80568720379147,4.58135860979463,"Bollinger County, Missouri","Missouri",19100,152,7.95811518324607,7.95811518324607,2016,0.2264447957277,0.7735552191734
"29103",0,0.57001239157373,1.14002478314746,0,0.594795539033457,0.50088809946714,0.256956779159266,0.11190053285968,12.5804564072557,7.89935634874195,7.489760093622,1.57987126974839,14.4528964306612,3.97893504973669,5.79286132241077,6.90462258630778,22.3522527794032,7.25570509069631,5.32475131655939,"Knox County, Missouri","Missouri",6820,60,8.79765395894428,8.79765395894428,2016,0.326856315136,0.673143684864
"29139",0.318284613451713,1.36527347349024,1.56629533461764,0.0418795544015412,0.184270039366781,0.506565449322938,0.29298317603611,0.10299548625359,7.58876316816231,8.31057354662505,18.6695278969957,2.24346468981662,10.9246976199766,5.6184159188451,4.89660554038236,3.21888412017167,21.8689036285603,5.42333203277409,4.54545454545455,"Montgomery County, Missouri","Missouri",20780,168,8.08469682386911,8.08469682386911,2016,0.3185906112194,0.6814093589783
"29207",0.0368669772430204,1.49478835003519,1.55511613097832,0.15417099574354,0,0.549937733499377,0.271481942714819,0.100539643005396,5.48078482244203,7.28068753040376,16.7099075725636,2.57823901410735,13.8479001135074,6.3320901572888,4.43489541105886,5.77266093724664,24.6797470407005,5.35916977460678,3.01605318631425,"Stoddard County, Missouri","Missouri",49710,398,8.006437336552,8.006437336552,2016,0.2491744607687,0.7508255243301
